x(mm)	height(mm)
-30.0	-7.372571998003617e-08
-29.925	-1.1464967190713586e-07
-29.85	5.571887115272413e-08
-29.775	4.0759504631910426e-07
-29.7	8.777296429876868e-07
-29.625	1.4000478622637914e-06
-29.55	1.9293068263698996e-06
-29.475	2.453145588030824e-06
-29.4	2.9646901398254544e-06
-29.325	3.43808467351456e-06
-29.25	3.85517158934896e-06
-29.175	4.230112755345043e-06
-29.1	4.574627016535637e-06
-29.025	4.8629439541957625e-06
-28.95	5.0550088950434795e-06
-28.875	5.130319170413861e-06
-28.8	5.1060241254088874e-06
-28.725	5.042102628019843e-06
-28.65	5.0106055782256695e-06
-28.575	5.064274667067476e-06
-28.5	5.238602385695782e-06
-28.425	5.557773284392813e-06
-28.35	6.0227052315714635e-06
-28.275	6.599301922746411e-06
-28.2	7.225465389482318e-06
-28.125	7.821681008321026e-06
-28.05	8.297111259676618e-06
-27.975	8.559750736708822e-06
-27.9	8.547307404175623e-06
-27.825	8.25325760725885e-06
-27.75	7.712907330363315e-06
-27.675	6.981215955892277e-06
-27.6	6.117683773002469e-06
-27.525	5.177308236333377e-06
-27.45	4.218732724710087e-06
-27.375	3.3067440498245498e-06
-27.3	2.4749549648911754e-06
-27.225	1.6972404232810125e-06
-27.15	9.340038371321949e-07
-27.075	1.8321083593407587e-07
-27.0	-5.243419749092145e-07
-26.925	-1.144782005541377e-06
-26.85	-1.6452444231375743e-06
-26.775	-2.0198133934120408e-06
-26.7	-2.268539572148869e-06
-26.625	-2.3784700967556543e-06
-26.55	-2.349673577842917e-06
-26.475	-2.2181413408220743e-06
-26.4	-2.0212336675289967e-06
-26.325	-1.7648910378691041e-06
-26.25	-1.4553503714863593e-06
-26.175	-1.1316537694551568e-06
-26.1	-8.368260059937902e-07
-26.025	-5.846070201999256e-07
-25.95	-3.697294078097135e-07
-25.875	-1.8591091297952423e-07
-25.8	-3.1155670087604547e-08
-25.725	9.13270544377022e-08
-25.65	1.7701162027236823e-07
-25.575	2.2450227132636922e-07
-25.5	2.3742064385096177e-07
-25.425	2.242882745268676e-07
-25.35	1.9296410852781048e-07
-25.275	1.4690950756227762e-07
-25.2	9.419825789547043e-08
-25.125	5.351657834837137e-08
-25.05	3.5366878276304764e-08
-24.975	2.5165265525239114e-08
-24.9	-1.2721956363787299e-09
-24.825	-5.835697659985431e-08
-24.75	-1.4820182652684292e-07
-24.675	-2.6286451447807527e-07
-24.6	-3.8882032156142044e-07
-24.525	-5.104807831041981e-07
-24.45	-6.07649930845865e-07
-24.375	-6.536930351520874e-07
-24.3	-6.226565972460635e-07
-24.225	-4.979458414637624e-07
-24.15	-2.7826970753103287e-07
-24.075	1.7227907139339726e-08
-24.0	3.4437315513363476e-07
-23.925	6.390972466992261e-07
-23.85	8.609839573858837e-07
-23.775	1.0269846356689544e-06
-23.7	1.167391960550822e-06
-23.625	1.27849619913957e-06
-23.55	1.3396839642127928e-06
-23.475	1.3405619717602105e-06
-23.4	1.283732048500957e-06
-23.325	1.1797886393854308e-06
-23.25	1.03556256507659e-06
-23.175	8.466460294126783e-07
-23.1	6.13787626847157e-07
-23.025	3.589623498687945e-07
-22.95	1.1626034640598568e-07
-22.875	-8.23668227908267e-08
-22.8	-2.1672492678736546e-07
-22.725	-2.8266955712317173e-07
-22.65	-2.7974237048615663e-07
-22.575	-2.0123358140857447e-07
-22.5	-5.0585704980365004e-08
-22.425	1.436377004150199e-07
-22.35	3.44870790346403e-07
-22.275	5.281291915657786e-07
-22.2	6.773387592140221e-07
-22.125	7.79061834012753e-07
-22.05	8.240672494353159e-07
-21.975	8.104978388572321e-07
-21.9	7.45575442689182e-07
-21.825000000000003	6.42028415490908e-07
-21.75	4.948716330703278e-07
-21.675	2.677814995581865e-07
-21.6	-6.248529553523736e-08
-21.525	-4.65153020276609e-07
-21.450000000000003	-8.864456432895763e-07
-21.375	-1.2892780767518942e-06
-21.3	-1.6556711694089147e-06
-21.225	-1.979111699609548e-06
-21.15	-2.2539923683566544e-06
-21.075000000000003	-2.4685580423759535e-06
-21.0	-2.6148007472050834e-06
-20.925	-2.69839966029782e-06
-20.85	-2.7318911041490147e-06
-20.775	-2.726196039437583e-06
-20.700000000000003	-2.6923513081847225e-06
-20.625	-2.6441883769301915e-06
-20.55	-2.5945845799298793e-06
-20.475	-2.5510143623688583e-06
-20.4	-2.5147317735876814e-06
-20.325000000000003	-2.483337960333973e-06
-20.25	-2.463268660030098e-06
-20.175	-2.4769279440515586e-06
-20.1	-2.538480711027724e-06
-20.025	-2.6356401801644683e-06
-19.950000000000003	-2.7667816345754268e-06
-19.875	-2.971037414634249e-06
