#F tmpPSD.dat
#S 1  power spectral density
#N 5
#L  freq[m^-1]  psd_heights[m^3]  psd_slopes[rad^3]  csd_h  csd_s
8.333333333333333703e-01 7.830590961237922513e-20 3.673061505949656680e-43 0.000000000000000000e+00 0.000000000000000000e+00
1.666666666666666741e+00 1.679131960546200757e-15 4.595793759306089502e-14 6.031558495371810436e-01 2.843455787615118413e-01
2.500000000000000000e+00 3.692545426014452991e-16 4.042662485932122905e-14 8.986518382211787781e-01 4.825206249064076247e-01
3.333333333333333481e+00 4.230736283501363809e-17 1.042197474936849550e-14 9.469630674243141311e-01 5.676993528560484448e-01
4.166666666666666963e+00 1.758870590136707637e-16 7.702989221744035289e-14 9.716019568208894563e-01 6.900246206114644121e-01
5.000000000000000000e+00 1.618735336404847679e-17 1.107743237407466556e-14 9.927853921861009567e-01 7.944422733093869926e-01
5.833333333333333037e+00 1.105910825154387106e-17 1.089852326435423969e-14 9.957538436554418393e-01 8.184131957760044651e-01
6.666666666666666963e+00 6.335141239679081429e-18 8.498126377413746109e-15 9.976442956511538673e-01 8.390018459288831609e-01
7.500000000000000000e+00 9.713910000046519403e-19 1.702058860502670551e-15 9.984373209044917763e-01 8.496287274657464694e-01
8.333333333333333925e+00 6.612692812155886597e-19 1.466552380294039720e-15 9.986144380131333209e-01 8.529029348973347080e-01
9.166666666666667851e+00 1.164888744560376466e-18 3.189747551602065132e-15 9.988125092707148545e-01 8.576917300814614897e-01
1.000000000000000000e+01 2.769617683020985665e-20 9.177379168986270789e-17 9.989418398540735877e-01 8.610506285906474044e-01
1.083333333333333393e+01 2.141154875174901347e-19 8.444416396004682521e-16 9.989680612226061740e-01 8.620065199633215602e-01
1.166666666666666785e+01 5.073208894814555250e-19 2.348432426232428063e-15 9.990462876401012826e-01 8.652585550771467737e-01
1.250000000000000178e+01 2.078714490466458767e-19 1.116125560950964194e-15 9.991238309617804791e-01 8.687735372962833713e-01
1.333333333333333393e+01 5.793894631374141874e-19 3.571681636554243920e-15 9.992091812188442779e-01 8.735070557118563839e-01
1.416666666666666785e+01 1.020916767524246686e-18 7.161621979355235032e-15 9.993826546603449268e-01 8.842495985087142074e-01
1.500000000000000178e+01 4.790427384743506721e-19 3.794186100601285699e-15 9.995452231672965482e-01 8.950818811227196914e-01
1.583333333333333570e+01 3.891909324000340962e-19 3.456397279195385951e-15 9.996393119279243233e-01 9.021791982371661911e-01
1.666666666666666430e+01 9.879767865466345209e-20 9.777847389011142142e-16 9.996921903984121727e-01 9.064922657721401489e-01
1.750000000000000000e+01 1.313969571376796850e-19 1.441159232981099517e-15 9.997171333298765505e-01 9.088365104886817480e-01
1.833333333333333215e+01 3.672195087568113601e-19 4.441322788887368931e-15 9.997711591984708157e-01 9.145122608895155381e-01
1.916666666666666430e+01 1.159195430200685524e-19 1.538988373220138779e-15 9.998235052804140821e-01 9.202465189729107653e-01
2.000000000000000000e+01 1.559102843053608483e-21 2.262835827424938361e-17 9.998362331828233307e-01 9.217380108887575085e-01
2.083333333333333215e+01 5.989373027534700728e-20 9.467160348652209970e-16 9.998428910573190498e-01 9.226626138300186852e-01
2.166666666666666785e+01 3.630890622128292685e-20 6.228827893327199812e-16 9.998533136786452724e-01 9.241578039756354057e-01
2.250000000000000000e+01 5.013762327754683173e-20 9.305181161046306114e-16 9.998626792278536568e-01 9.256351861454040764e-01
2.333333333333333215e+01 6.628649663928309050e-20 1.327003972880407012e-15 9.998752923870675158e-01 9.277780381598195181e-01
2.416666666666666785e+01 1.198521189168112709e-19 2.581015614780821191e-15 9.998954579465085812e-01 9.314758980408655020e-01
2.500000000000000000e+01 2.462145210289017681e-20 5.689206896594027538e-16 9.999111093909756054e-01 9.344457909383186989e-01
2.583333333333333215e+01 5.826043014731979040e-20 1.441038142390315973e-15 9.999200882318209915e-01 9.363359418077539242e-01
2.666666666666666785e+01 4.258650118554162053e-20 1.125060392488011002e-15 9.999310131711394156e-01 9.387435514457079799e-01
2.750000000000000000e+01 3.297389279310765957e-20 9.284870942451419154e-16 9.999391986936925214e-01 9.406658276455277523e-01
2.833333333333333570e+01 3.965338525039208831e-21 1.187799258457184179e-16 9.999432003280476211e-01 9.416446380991581044e-01
2.916666666666666785e+01 1.465235495722431126e-20 4.660509277880025464e-16 9.999452171804560363e-01 9.421907979146534329e-01
3.000000000000000000e+01 3.316289116600322794e-22 1.118133871189198619e-17 9.999468403906015546e-01 9.426362394649242527e-01
3.083333333333333570e+01 5.076519614781439790e-20 1.811413607035924297e-15 9.999523756733869062e-01 9.443354891450401745e-01
