X(mm)           Measured heigth (um)
     -46        -6216.09
     -45        -6035.15
     -44        -5849.86
     -43        -5654.43
     -42        -5460.65
     -41        -5268.81
     -40        -5075.22
     -39        -4888.91
     -38        -4704.83
     -37        -4523.46
     -36        -4347.66
     -35        -4170.27
     -34        -3995.74
     -33        -3830.27
     -32           -3665
     -31        -3495.02
     -30        -3332.17
     -29        -3172.57
     -28        -3006.57
     -27        -2845.86
     -26        -2691.39
     -25        -2538.73
     -24         -2389.7
     -23        -2236.45
     -22        -2084.84
     -21        -1930.04
     -20        -1786.97
     -19        -1643.37
     -18        -1505.73
     -17        -1363.59
     -16        -1218.87
     -15        -1077.21
     -14        -930.745
     -13         -791.41
     -12        -660.462
     -11        -522.435
     -10        -390.857
      -9        -263.351
      -8        -128.233
      -7         6.01169
      -6        133.3238
      -5        261.1206
      -4        3.88E+02
      -3        515.8902
      -2        642.4266
      -1        764.3572
       0        887.6939
       1         1009.14
       2        1130.876
       3        1252.177
       4        1372.847
       5        1493.323
       6        1611.327
       7        1729.767
       8        1845.589
       9         1963.98
      10        2079.317
      11        2194.267
      12        2306.404
      13        2421.984
      14        2535.866
      15        2650.961
      16        2762.517
      17         2868.74
      18        2981.168
      19        3090.978
      20        3197.734
      21        3308.223
      22        3417.936
      23        3521.832
      24          3628.2
      25         3737.38
      26         3842.73
      27        3943.571
      28        4050.327
      29        4154.029
      30        4255.404
      31        4347.615
      32        4447.826
      33         4547.31
      34        4642.236
      35        4744.387
      36        4840.622
      37        4948.154
      38        5052.874
      39        5165.253
      40        5272.349
      41        5376.438
      42        5479.267
      43        5581.805
      44        5674.114
      45         5773.21
      46        5863.434
      47        5954.385
      48        6045.917
      49        6134.154
