#F spectrum.dat

#S 1 Wiggler spectrum
#N 3
#L PhotonEnergy[eV]  Flux[phot/s/0.1%bw]  PowerDensity[W/eV]
 2.000000000000e+04   2.182507812991e+14   3.496762992687e-02  
 2.000004008016e+04   2.182502403203e+14   3.496754325252e-02  
 2.000008016032e+04   2.182496993428e+14   3.496745657836e-02  
 2.000012024048e+04   2.182491583664e+14   3.496736990439e-02  
 2.000016032064e+04   2.182486173912e+14   3.496728323062e-02  
 2.000020040080e+04   2.182480764173e+14   3.496719655703e-02  
 2.000024048096e+04   2.182475354446e+14   3.496710988365e-02  
 2.000028056112e+04   2.182469944730e+14   3.496702321045e-02  
 2.000032064128e+04   2.182464535026e+14   3.496693653745e-02  
 2.000036072144e+04   2.182459125335e+14   3.496684986463e-02  
 2.000040080160e+04   2.182453715655e+14   3.496676319201e-02  
 2.000044088176e+04   2.182448305988e+14   3.496667651958e-02  
 2.000048096192e+04   2.182442896332e+14   3.496658984735e-02  
 2.000052104208e+04   2.182437486689e+14   3.496650317531e-02  
 2.000056112224e+04   2.182432077058e+14   3.496641650346e-02  
 2.000060120240e+04   2.182426667438e+14   3.496632983180e-02  
 2.000064128257e+04   2.182421257831e+14   3.496624316034e-02  
 2.000068136273e+04   2.182415848236e+14   3.496615648907e-02  
 2.000072144289e+04   2.182410438652e+14   3.496606981799e-02  
 2.000076152305e+04   2.182405029081e+14   3.496598314711e-02  
 2.000080160321e+04   2.182399619522e+14   3.496589647641e-02  
 2.000084168337e+04   2.182394209974e+14   3.496580980590e-02  
 2.000088176353e+04   2.182388800439e+14   3.496572313560e-02  
 2.000092184369e+04   2.182383390916e+14   3.496563646548e-02  
 2.000096192385e+04   2.182377981405e+14   3.496554979556e-02  
 2.000100200401e+04   2.182372571906e+14   3.496546312582e-02  
 2.000104208417e+04   2.182367162419e+14   3.496537645629e-02  
 2.000108216433e+04   2.182361752944e+14   3.496528978694e-02  
 2.000112224449e+04   2.182356343480e+14   3.496520311779e-02  
 2.000116232465e+04   2.182350934029e+14   3.496511644883e-02  
 2.000120240481e+04   2.182345524590e+14   3.496502978006e-02  
